"subj_idx","age","trial_num","trial_type","rt","response"
"1816_5",4.13142,10,"some",2.174,0
"1816_5",4.13142,11,"all",1.525,1
"1816_5",4.13142,12,"all",1.711,1
"1816_5",4.13142,13,"some",1.987,0
"1816_5",4.13142,14,"some",1.493,0
"1816_5",4.13142,15,"all",0.874,1
"1816_5",4.13142,16,"all",1.729,1
"1816_5",4.13142,17,"all",1.55,1
"1816_5",4.13142,18,"some",1.669,0
"1816_5",4.13142,19,"none",1.664,1
"1816_5",4.13142,20,"some",2.433,0
"1816_5",4.13142,21,"none",4.708,1
"1816_5",4.13142,22,"none",2.11,1
"1816_5",4.13142,23,"some",1.68,0
"1816_5",4.13142,24,"all",1.177,1
"1816_5",4.13142,25,"all",2.267,1
"1816_5",4.13142,26,"some",1.5,0
"1816_5",4.13142,27,"none",3.798,1
"1816_5",4.13142,28,"none",1.216,1
"1816_5",4.13142,29,"none",1.706,1
"1816_5",4.13142,30,"all",1.191,1
"1816_5",4.13142,31,"all",1.197,0
"1816_6",4.47365,1,"some",5.358,0
"1816_6",4.47365,2,"none",4.375,0
"1816_6",4.47365,3,"some",4.906,0
"1816_6",4.47365,4,"some",3.068,0
"1816_6",4.47365,5,"all",4.24,1
"1816_6",4.47365,6,"none",4.939,1
"1816_6",4.47365,7,"none",4.916,0
"1816_6",4.47365,8,"all",6.308,1
"1816_6",4.47365,9,"all",3.406,1
"1816_6",4.47365,10,"all",3.228,1
"1816_6",4.47365,11,"none",4.172,0
"1816_6",4.47365,12,"none",4.885,0
"1816_6",4.47365,13,"some",2.026,0
"1816_6",4.47365,14,"some",3.692,0
"1816_6",4.47365,16,"none",4.208,0
"1816_6",4.47365,17,"some",4.925,0
"1816_6",4.47365,18,"all",4.448,1
"1816_6",4.47365,19,"none",11.671,0
"1816_6",4.47365,20,"some",13.764,1
"1816_6",4.47365,21,"all",13.677,1
"1816_6",4.47365,22,"none",3.378,0
"1816_6",4.47365,23,"all",7.12,0
"1816_6",4.47365,24,"some",1.316,0
"1816_6",4.47365,25,"all",5.619,0
"1816_6",4.47365,26,"some",3.93,0
"1816_6",4.47365,27,"all",2.969,1
"1816_6",4.47365,28,"none",3.508,0
